"tingkat","jenjang","mapel_id","ki_id","kode_kd","teks_kd","sekolah_id"
"5","sd","pabp","1","1.1","Terbiasa membaca Al-Qur'an dengan tartil.",
"5","sd","pabp","2","2.1","Menunjukkan sikap kerja sama dan peduli sebagai implementasi pemahaman makna Q.S. At-Tiin dan Q.S. Al-Maa'uun.",
"5","sd","pabp","3","3.1","Memahami makna Q.S. At-Tiin dan Q.S. Al-Maa'uun dengan baik dan tartil.",
"5","sd","pabp","4","4.1.1","Membaca Q.S. At-Tiin dan Q.S.Al-Maa'uun dengan tartil.",
"5","sd","pabp","4","4.1.2","Menulis kalimat-kalimat dalam Q.S. At-Tiin dan Q.S. Al Maa'uun dengan benar.",
"5","sd","pabp","4","4.1.3","Menunjukkan hafalan Q.S. At-Tiin dan Q.S. Al-Maa'uun dengan lancar.",
"5","sd","pabp","1","1.2","Meyakini adanya Allah Swt. Yang Maha Mematikan, Mahahidup, Maha berdiri Sendiri dan Maha Esa.",
"5","sd","pabp","1","1.4","Meyakini adanya kitab-kitab suci melalui rasul-rasul-Nya sebagai implementasi rukun iman.",
"5","sd","pabp","2","2.2","Menunjukkan sikap berani, peduli, mandiri, dan teguh pendirian sebagai implementasi pemahaman makna al-asmaul husna: Al-Mumit, Al-Hayyu, Al-Qayyum, dan Al- Ahad.",
"5","sd","pabp","2","2.4","Menunjukkan sikap percaya diri sebagai implementasi dari pemahaman makna diturunkannya kitab-kitab suci melalui rasul-rasul- Nya.",
"5","sd","pabp","3","3.2","Memahami makna al-asmaul husna: Al-Mumit, Al-Hayyu, Al Qayyum, dan Al-Ahad.",
"5","sd","pabp","3","3.4","Memahami makna diturunkannya kitab-kitab suci melalui rasul-rasul- Nya sebagai implementasi rukun iman.",
"5","sd","pabp","4","4.2","Membaca al-asmaul husna: Al Mumit, Al-Hayyu, Al-Qayyum, dan Al-Ahad dengan jelas dan benar.",
"5","sd","pabp","4","4.4","Menunjukkan makna diturunkannya kitab-kitab suci melalui rasul-rasul- Nya sebagai implementasi rukun iman.",
"5","sd","pabp","1","1.5","Meyakini bahwa perilaku jujur sebagai cerminan dari iman.",
"5","sd","pabp","1","1.6","Meyakini bahwa hormat dan patuh kepada orang tua dan guru sebagai cerminan dari iman.",
"5","sd","pabp","1","1.7","Meyakini bahwa sikap saling menghargai sesama manusia sebagai cerminan dari iman.",
"5","sd","pabp","2","2.5","Menunjukkan perilaku jujur dalam kehidupan sehai-hari.",
"5","sd","pabp","2","2.6","Menunjukkan perilaku hormat dan patuh kepada orang tua, dan guru.",
"5","sd","pabp","2","2.7","Menunjukkan sikap saling menghargai sesama manusia.",
"5","sd","pabp","3","3.5","Memahami makna perilaku jujur dalam kehidupan sehari-hari.",
"5","sd","pabp","3","3.6","Memahami makna hormat dan patuh kepada orang tua dan guru.",
"5","sd","pabp","3","3.7","Memahami makna saling menghargai sesama manusia.",
"5","sd","pabp","4","4.5","Menunjukkan perilaku jujur dalam kehidupan sehari-hari.",
"5","sd","pabp","4","4.6","Mencontohkan perilaku hormat dan patuh kepada orang tua dan guru.",
"5","sd","pabp","4","4.7","Mencontohkan sikap saling menghargai sesama manusia.",
"5","sd","pabp","1","1.10","Menjalankan kewajiban puasa Ramadan sebagai implementasi dari pemahaman rukun lslam.",
"5","sd","pabp","2","2.10","Menunjukkan sikap sabar dan mengendalikan diri sebagai implementasi dari pemahaman hikmah puasa Ramadan.",
"5","sd","pabp","3","3.10","Memahami hikmah puasa Ramadan yang dapat membentuk akhlak mulia.",
"5","sd","pabp","4","4.10","Menunjukkan hikmah puasa Ramadan yang dapat membentuk akhlak mulia.",
"5","sd","pabp","1","1.12","Meyakini kebenaran kisah Nabi Dawud a.s.",
"5","sd","pabp","1","1.13","Meyakini kebenaran kisah Nabi Sulaiman a.s.",
"5","sd","pabp","1","1.14","Meyakini kebenaran kisah Nabi llyas a.s.",
"5","sd","pabp","1","1.15","Meyakini kebenaran kisah keteladanan Nabi llyasa a.s.",
"5","sd","pabp","1","1.16","Meyakini kebenaran kisah Nabi Muhammad saw.",
"5","sd","pabp","2","2.12","Menunjukkan sikap berani sebagai implementasi dari pemahaman kisah keteladanan Nabi Dawud a.s.",
"5","sd","pabp","2","2.13","Menunjukkan sikap rendah hati sebagai implementasi dari pemahaman kisah keteladanan Nabi Sulaiman a.s.",
"5","sd","pabp","2","2.14","Menunjukkan sikap sabar sebagai implementasi dari pemahaman kisah keteladanan Nabi llyas a.s.",
"5","sd","pabp","2","2.15","Menunjukkan sikap kerja sama sebagai implementasi dari pemahaman kisah keteladanan Nabi llyasa a.s.",
"5","sd","pabp","2","2.16","Menunjukkan sikap jujur dan peduli sebagai implementasi dari pemahaman kisah keteladanan Nabi Muhammad saw.",
"5","sd","pabp","3","3.12","Memahami kisah keteladanan Nabi Dawud a.s.",
"5","sd","pabp","3","3.13","Memahami kisah keteladanan Nabi Sulaiman a.s.",
"5","sd","pabp","3","3.14","Memahami kisah keteladanan Nabi llyas a.s.",
"5","sd","pabp","3","3.15","Memahami kisah keteladanan Nabi llyasa a.s.",
"5","sd","pabp","3","3.16","Memahami kisah keteladanan Nabi Muhammad saw.",
"5","sd","pabp","4","4.12","Menceritakan kisah keteladanan Nabi Dawud a.s.",
"5","sd","pabp","4","4.13","Menceritakan kisah keteladanan Nabi Sulaiman a.s.",
"5","sd","pabp","4","4.14","Menceritakan kisah keteladanan Nabi llyas a.s.",
"5","sd","pabp","4","4.15","Menceritakan kisah keteladanan Nabi llyasa a.s.",
"5","sd","pabp","4","4.16","Menceritakan kisah keteladanan Nabi Muhammad saw.",
"5","sd","pabp","1","1.1","Terbiasa membaca Al-Qur'an dengan tartil.",
"5","sd","pabp","2","2.1","Menunjukkan sikap kerja sama dan peduli sebagai implementasi pemahaman makna Q.S. At-Tin dan Q.S. Al-Ma'un.",
"5","sd","pabp","3","3.1","Memahami makna Q.S. At-Tin dan Q.S. Al-Ma'un dengan baik dan tartil.",
"5","sd","pabp","4","4.1.1","Membaca Q.S. At-Tin dan Q.S.Al-Ma'un dengan tartil.",
"5","sd","pabp","4","4.1.2","Menulis kalimat-kalimat dalam Q.S. At-Tin dan Q.S. Al-Ma'un dengan benar.",
"5","sd","pabp","4","4.1.3","Menunjukkan hafalan Q.S. At-Tin dan Q.S. Al-Ma'un dengan lancar",
"5","sd","pabp","1","1.3","Meyakini keberadaan rasul Allah dan rasul ulul azmi.",
"5","sd","pabp","2","2.3","Menunjukkan sikap sabar dan jujur sebagai implementasi pema- haman mengenal nama-nama rasul Allah dan rasul ulul azmi.",
"5","sd","pabp","3","3.3","Memahami nama-nama rasul Allah dan rasul ulul azmi.",
"5","sd","pabp","4","4.3","Menunjukkan hafalan nama-nama rasul Allah dan rasul ulul azmi.",
"5","sd","pabp","1","1.8","Meyakini bahwa sikap sederhana sebagai cerminan dari iman.",
"5","sd","pabp","1","1.9","Meyakini bahwa ikhlas beramal sebagai cerminan dari iman.",
"5","sd","pabp","2","2.8","Menunjukkan sikap sederhana dalam kehidupan sehari-hari.",
"5","sd","pabp","2","2.9","Menunjukkan sikap ikhlas beramal dalam kehidupan sehari-hari.",
"5","sd","pabp","3","3.8","Memahami makana sederhana dalam kehidupan sehari-hari.",
"5","sd","pabp","3","3.9","Memahami makna ikhlas beramal dalam kehidupan sehari-hari",
