"tingkat","mapel_id","bab_id","ki_id","kd_id"
"6","pabp","1","1","1.1"
"6","pabp","1","2","2.1"
"6","pabp","1","3","3.1"
"6","pabp","1","4","4.1.1"
"6","pabp","1","4","4.1.2"
"6","pabp","1","4","4.1.3"
"6","pabp","2","1","1.3"
"6","pabp","2","2","2.3"
"6","pabp","2","3","3.3"
"6","pabp","2","4","4.3"
"6","pabp","3","1","1.2"
"6","pabp","3","2","2.2"
"6","pabp","3","3","3.2"
"6","pabp","3","4","4.2"
"6","pabp","4","1","1.7"
"6","pabp","4","2","2.7"
"6","pabp","4","3","3.7"
"6","pabp","4","4","4.7"
"6","pabp","5","1","1.12"
"6","pabp","5","1","1.13"
"6","pabp","5","2","2.12"
"6","pabp","5","2","2.13"
"6","pabp","5","3","3.12"
"6","pabp","5","3","3.13"
"6","pabp","5","4","4.12"
"6","pabp","5","4","4.13"
"6","pabp","6","1","1.1"
"6","pabp","6","2","2.1"
"6","pabp","6","3","3.1"
"6","pabp","6","4","4.1.1"
"6","pabp","6","4","4.1.2"
"6","pabp","6","4","4.1.3"
"6","pabp","7","1","1.4"
"6","pabp","7","2","2.4"
"6","pabp","7","3","3.4"
"6","pabp","7","4","4.4"
"6","pabp","8","1","1.5"
"6","pabp","8","1","1.6"
"6","pabp","8","2","2.5"
"6","pabp","8","2","2.6"
"6","pabp","8","3","3.5"
"6","pabp","8","3","3.6"
"6","pabp","8","4","4.5"
"6","pabp","8","4","4.6"
"6","pabp","9","1","1.7"
"6","pabp","9","2","2.7"
"6","pabp","9","3","3.7"
"6","pabp","9","4","4.7"
"6","pabp","10","1","1.8"
"6","pabp","10","1","1.9"
"6","pabp","10","1","1.10"
"6","pabp","10","1","1.11"
"6","pabp","10","1","1.14"
"6","pabp","10","2","2.8"
"6","pabp","10","2","2.9"
"6","pabp","10","2","2.10"
"6","pabp","10","2","2.11"
"6","pabp","10","2","2.14"
"6","pabp","10","3","3.8"
"6","pabp","10","3","3.9"
"6","pabp","10","3","3.10"
"6","pabp","10","3","3.11"
"6","pabp","10","3","3.14"
"6","pabp","10","4","4.8"
"6","pabp","10","4","4.9"
"6","pabp","10","4","4.10"
"6","pabp","10","4","4.11"
"6","pabp","10","4","4.14"
,,,"",
,,,"",
,,,"",
,,,"",
,,,"",
,,,"",
,,,"",
,,,"",
,,,"",
,,,"",
,,,"",
,,,"",
,,,"",
,,,"",
,,,"",
,,,"",
,,,"",
,,,"",
,,,"",
,,,"",
,,,"",
,,,"",
,,,"",
,,,"",
,,,"",
