"tingkat","jenjang","mapel_id","ki_id","kode_kd","teks_kd","sekolah_id"
"5","sd","pabp","1","1.1","Terbiasa membaca Al-Qur'an dengan tartil.",
"5","sd","pabp","2","2.1","Menunjukkan perilaku toleran, simpati, waspada, berbaik sangka, dan hidup rukun sebagai implementasi pemahamanQ.S. Al-Kafirun, Q.S. Al-Maidah, 5: 2-3, dan Q.S. Al-Hujurat, 49: 12-13.",
"5","sd","pabp","3","3.1","Memahami makna Q.S. Al-Kafirun, Q.S. Al-Maidah, 5: 2-3, dan Q.S. Al-Hujurat, 49: 12-13 dengan benar.",
"5","sd","pabp","4","4.1.1","Membaca Q.S. Al-Kafirun, Q.S. Al-Maidah 5: 2-3, dan Q.S. Al-Hujurat, 49: 12-13 dengan jelas dan benar.",
"5","sd","pabp","4","4.1.2","Menulis Q.S. Al-Kafirun, Q.S. Al-Maidah, 5: 2-3, dan Q.S. Al- Hujurat, 49: 12-13 dengan benar.",
"5","sd","pabp","4","4.1.3","Menunjukkan hafalan Q.S. Al-Kafirun, Q.S. Al-Maidah, 5: 2-3, dan Q.S. Al-Hujurat, 49: 12-13 dengan benar.",
"5","sd","pabp","1","1.3","Meyakini adanya hari akhir sebagai implementasi pemahaman rukun iman.",
"5","sd","pabp","2","2.3","Menunjukkan perilaku rendah hati yang mencerminkan iman kepada hari akhir",
"5","sd","pabp","3","3.3","Memahami hikmah beriman kepada hari akhir yang dapat membentuk perilaku akhlak mulia.",
"5","sd","pabp","4","4.3","Menunjukkan contoh hikmah beriman kepada hari akhir yang dapat membentuk perilaku akhlak mulia.",
"5","sd","pabp","1","1.2","Meyakini adanya Allah Swt. tempat meminta, Maha Berkuasa, Maha Mendahulukan, dan Mahakekal.",
"5","sd","pabp","2","2.2","Menunjukkan sikap peduli sebagai implementasi pemahaman makna al-asmaul al-husna: As- S amad, Al-Muqtadir, Al-Muqqadim, dan Al- Baqi.",
"5","sd","pabp","3","3.2","Memahami makna al-asmaul al- husna: As- S amad, Al-Muqtadir, Al-Muqqadim, dan Al-Baqi.",
"5","sd","pabp","4","4.2","Membaca al-asmaul al-husna: As- S amad, A-Muqtadir, Al-Muqqadim, dan Al-Baqi dengan jelas dan benar.",
"5","sd","pabp","1","1.7","Menjalankan kewajiban berzakat sebagai implementasi pemahaman rukun Islam.",
"5","sd","pabp","2","2.7","Menunjukkan sikap peduli sebagai implementasi pemahaman hikmah zakat, infak, dan sedekah sebagai implementasi rukun Islam.",
"5","sd","pabp","3","3.7","Memahami hikmah zakat, infak,dan sedekah sebagai implementasi rukun Islam.",
"5","sd","pabp","4","4.7","Menunjukkan hikmah zakat, infak,dan sedekah sebagai implementasi rukun Islam.",
"5","sd","pabp","1","1.12","Meyakini kebenaran kisah Nabi Muhammad saw.",
"5","sd","pabp","1","1.13","Meyakini kebenaran kisah sahabat- sahabat Nabi Muhammad saw.",
"5","sd","pabp","2","2.12","Menunjukkan sikap semangat dalam belajar sebagai implementasi pemahaman kisah keteladanan Nabi Muhammad saw.",
"5","sd","pabp","2","2.13","Menunjukkan sikap peduli sebagai implementasi pemaham- an kisah keteladanan sahabat- sahabat Nabi Muhammad saw.",
"5","sd","pabp","3","3.12","Memahami kisah Nabi Muhammad saw.",
"5","sd","pabp","3","3.13","Memahami kisah keteladanan sahabat-sahabat Nabi Muhammad saw.",
"5","sd","pabp","4","4.12","Menceritakan kisah keteladanan Nabi Muhammad saw.",
"5","sd","pabp","4","4.13","Menceritakan kisah keteladanan sahabat-sahabat Nabi Muhammad saw.",
"5","sd","pabp","1","1.1","Terbiasa membaca Al-Qur'an dengan tartil.",
"5","sd","pabp","2","2.1","Menunjukkan perilaku toleran, simpati, waspada, berbaik sangka, dan hidup rukun sebagai implementasi pemahamanQ.S. Al-Kafirun, Q.S. Al-Maidah, 5: 2-3, dan Q.S. Al-Hujurat, 49: 12-13.",
"5","sd","pabp","3","3.1","Memahami makna Q.S. Al-Kafirun, Q.S. Al-Maidah, 5: 2-3, dan Q.S. Al-Hujurat, 49: 12-13 dengan benar.",
"5","sd","pabp","4","4.1.1","Membaca Q.S. Al-Kafirun, Q.S. Al-Maidah 5: 2-3, dan Q.S. Al-Hujurat, 49: 12-13 dengan jelas dan benar.",
"5","sd","pabp","4","4.1.2","Menulis Q.S. Al-Kafirun, Q.S. Al-Maidah, 5: 2-3, dan Q.S. Al- Hujurat, 49: 12-13 dengan benar.",
"5","sd","pabp","4","4.1.3","Menunjukkan hafalan Q.S. Al-Kafirun, Q.S. Al-Maidah, 5: 2-3, dan Q.S. Al-Hujurat, 49: 12-13 dengan benar.",
"5","sd","pabp","1","1.4","Meyakini adanya qada dan qadar.",
"5","sd","pabp","2","2.4","Menunjukkan perilaku berserah diri kepada Allah Swt. yang mencerminkan iman kepada qada dan qadar.",
"5","sd","pabp","3","3.4","Memahami hikmah beriman kepada qada dan qadar yang dapat membentuk perilaku akhlak mulia.",
"5","sd","pabp","4","4.4","Menunjukkan hikmah beriman kepada qada dan qadar yang dapat membentuk perilaku akhlak mulia.",
"5","sd","pabp","1","1.5","Meyakini bahwa perilaku hormat dan patuh kepada orang tua, guru, dan sesama anggota keluarga sebagai cerminan dari iman.",
"5","sd","pabp","1","1.6","Meyakini bahwa sikap toleransi dan simpatik terhadap sesama sebagai cerminan dari iman.",
