"tingkat","mapel_id","ki_id","kode_kd","teks_kd"
"4","pkn","3","3.1","memahami makna hubungan simbol dengan sila-sila Pancasila"
"4","pkn","3","3.2","mengidentifikasi pelaksanaan kewajiban dan hak sebagai warga masyarakat dalam kehidupan sehari-hari"
"4","pkn","3","3.3","menjelaskan manfaat keberagaman karakteristik individu dalam kehidupan sehari-hari"
"4","bid","3","3.1","mencermati gagasan pokok dan
gagasan pendukung yang diperoleh dari teks lisan, tulis, atau visual"
"4","bid","3","3.2","mencermati keterhubungan antargagasan yang didapat dari teks lisan, tulis, atau visual"
"4","bid","3","3.3","menggali informasi dari seorang tokoh melalui wawancara menggunakan daftar pertanyaan"
"4","bid","3","3.4","membandingkan teks petunjuk penggunaan dua alat yang sama dan berbeda"
"4","bid","3","3.5","menguraikan pendapat pribadi tentang isi buku sastra (cerita, dongeng, dan sebagainya)"
"4","bid","3","3.6","menggali isi dan amanat puisi yang disajikan secara lisan dan tulis dengan tujuan untuk kesenangan"
"4","bid","3","3.7","menggali pengetahuan baru yang terdapat pada teks nonfiksi"
"4","bid","3","3.8","membandingkan hal yang sudah diketahui dengan yang baru diketahui dari teks nonfiksi"
"4","bid","3","3.9","mencermati tokoh-tokoh yang terdapat pada teks fiksi"
"4","bid","3","3.10","membanding-kan watak setiap tokoh pada teks fiksi"
"4","ipa","3","3.1","menganalisis hubungan antara bentuk dan fungsi bagian tubuh pada hewan dan tumbuhan"
"4","ipa","3","3.2","membandingkan siklus hidup beberapa jenis makhluk hidup serta mengaitkan dengan upaya pelestariannya"
"4","ipa","3","3.3","mengidentifikasi macam-macam gaya, antara lain: gaya otot, gaya listrik, gaya magnet, gaya gravitasi, dan gaya gesekan"
"4","ipa","3","3.4","menghubungkan gaya dengan gerak pada peristiwa di lingkungan sekitar"
"4","ipa","3","3.5","mengidentifikasi berbagai sumber energi, perubahan bentuk energi, dan sumber energi alternatif (angin, air, matahari, panas bumi, bahan bakar organik, dan nuklir) dalam kehidupan sehari-hari"
"4","ipa","3","3.6","menerapkan sifat-sifat bunyi dan keterkaitannya dengan indera pendengaran"
"4","ipa","3","3.7","menerapkan sifat-sifat cahaya dan keterkaitannya dengan indera penglihatan"
"4","ipa","3","3.8","menjelaskan pentingnya upaya keseimbangan dan pelestarian sumber daya alam di lingkungannya"
"4","ips","3","3.1","mengidentifikasi karakteristik ruang dan pemanfaatan sumber daya alam untuk kesejahteraan masyarakat dari tingkat kota/kabupaten sampai tingkat provinsi."
"4","ips","3","3.2","mengidentifikasi keragaman sosial, ekonomi, budaya, etnis, dan agama di provinsi setempat sebagai identitas bangsa Indonesia; serta hubungannya dengan karakteristik ruang."
"4","ips","3","3.3","mengidentifikasi kegiatan ekonomi dan hubungannya dengan berbagai bidang pekerjaan, serta kehidupan sosial dan budaya di lingkungan sekitar sampai provinsi."
"4","ips","3","3.4","mengidentifikasi kerajaan Hindu dan/atau Buddha dan/atau Islam di lingkungan daerah setempat,serta pengaruhnya pada kehidupan masyarakat masa kini."
"4","mtk","3","3.1","menjelaskan pecahan-pecahan senilai  dengan gambar dan model konkret"
"4","mtk","3","3.2","menjelaskan berbagai bentuk pecahan (biasa, campuran, desimal, dan persen) dan hubungan di antaranya"
"4","mtk","3","3.3","menjelaskan dan melakukan penaksiran dari jumlah, selisih, hasil kali, dan hasil bagi dua bilangan cacah maupun pecahan dan desimal"
"4","mtk","3","3.4","menjelaskan faktor dan kelipatan suatu bilangan"
"4","mtk","3","3.5","menjelaskan bilangan prima"
"4","mtk","3","3.6","menjelaskan dan menentukan faktor persekutuan, faktor persekutuan terbesar (FPB), kelipatan persekutuan, dan kelipatan persekutuan terkecil (KPK) dari dua bilangan berkaitan dengan kehidupan sehari-hari"
"4","mtk","3","3.7","menjelaskan dan melakukan pembulatan hasil pengukuran panjang dan berat ke satuan terdekat"
"4","mtk","3","3.8","menganalisis sifat-sifat segibanyak beraturan dan segibanyak tidak beraturan"
"4","mtk","3","3.9","menjelaskan dan menentukan keliling dan luas persegi, persegipanjang, dan segitiga serta hubungan pangkat dua dengan akar pangkat dua"
"4","mtk","3","3.10","menjelaskan hubungan antar garis (sejajar, berpotongan, berhimpit) menggunakan model konkret"
"4","mtk","3","3.11","menjelaskan data diri peserta didik dan lingkungannya yang disajikan dalam bentuk diagram batang"
"4","mtk","3","3.12","menjelaskan dan menentukan ukuran sudut pada bangun datar dalam satuan baku dengan menggunakan busur derajat"
"4","sbdp","3","3.1","mengetahui gambar dan bentuk tiga dimensi"
"4","sbdp","3","3.2","mengetahui tanda tempo dan tinggi rendah nada"
"4","sbdp","3","3.3","mengetahui gerak tari kreasi daerah"
"4","sbdp","3","3.4","mengetahui karya seni rupa teknik tempel"
