"tingkat","mapel_id","ki_id","kode_kd","teks_kd"
"5","pabp","3","3.1","memahami makna Q.S. at-T?n dan Q.S. al-M?’?n dengan baik dan tart?l"
"5","pabp","3","3.2","memahami makna al-Asmau al- Husna: Al-Mumit, Al-Hayy, Al- Qayyum, dan Al-Ahad"
"5","pabp","3","3.3","memahami nama-nama Rasul Allah dan Rasul Ulul ‘Azmi"
"5","pabp","3","3.4","memahami makna diturunkannya kitab-kitab suci melalui rasul- rasul-Nya sebagai implementasi rukun iman"
"5","pabp","3","3.5","memahami makna perilaku jujur dalam kehidupan sehari-hari"
"5","pabp","3","3.6","memahami makna hormat dan patuh kepada orangtua dan guru"
"5","pabp","3","3.7","memahami makna saling menghargai sesama manusia"
"5","pabp","3","3.8","memahami makna sederhana dalam kehidupan sehari-hari"
"5","pabp","3","3.9","memahami makna ikhlas beramal dalam kehidupan sehari-hari"
"5","pabp","3","3.10","memahami hikmah puasa Ramadan yang dapat membentuk akhlak mulia"
"5","pabp","3","3.11","memahami pelaksanaan salat tarawih dan tadarus al-Qur’an"
"5","pabp","3","3.12","memahami kisah keteladanan Nabi Dawud a.s."
"5","pabp","3","3.13","memahami kisah keteladanan Nabi Sulaiman a.s."
"5","pabp","3","3.14","memahami kisah keteladanan Nabi Ilyas a.s."
"5","pabp","3","3.15","memahami kisah keteladanan Nabi Ilyasa’ a.s."
"5","pabp","3","3.16","memahami kisah keteladanan Nabi Muhammad saw."
"5","pabp","3","3.17","memahami kisah keteladanan Luqman sebagaimana terdapat dalam al-Qur’an"
"5","pabp","4","4.1","membaca Q.S. at-T?n dan Q.S. al-M?’?n dengan tart?l, menulis kalimat-kalimat dalam Q.S. at-T?n dan Q.S. al-M?’?n dengan benar, menunjukkan hafalan Q.S. at-T?n dan Q.S. al-M?’?n dengan lancar"
"5","pabp","4","4.2","membaca al-Asmau al-Husna: Al- Mumit, Al-Hayy, Al-Qayyum, dan Al- Ahad dengan jelas dan benar"
"5","pabp","4","4.3","menunjukkan hafalan nama-nama Rasul Allah dan Rasul Ulul ‘Azmi"
"5","pabp","4","4.4","menunjukkan makna diturunkannya kitab-kitab suci melalui rasul-rasul-Nya sebagai implementasi rukun iman"
"5","pabp","4","4.5","menunjukkan perilaku jujur dalam kehidupan sehai-hari"
"5","pabp","4","4.6","mencontohkan perilaku hormat dan patuh kepada orangtua dan guru"
"5","pabp","4","4.7","mencontohkan sikap saling menghargai sesama manusia"
"5","pabp","4","4.8","mencontohkan sikap sederhana dalam kehidupan sehari-hari"
"5","pabp","4","4.9","mencontohkan sikap ikhlas beramal dalam kehidupan sehari- hari"
"5","pabp","4","4.10","menunjukkan hikmah puasa Ramadan yang dapat membentuk akhlak mulia"
"5","pabp","4","4.11","mempraktikkan tatacara salat tarawih dan tadarus al-Qur’an"
"5","pabp","4","4.12","menceritakan kisah keteladanan Nabi Dawud a.s."
"5","pabp","4","4.13","menceritakan kisah keteladanan Nabi Sulaiman a.s."
"5","pabp","4","4.14","menceritakan kisah keteladanan Nabi Ilyas a.s."
"5","pabp","4","4.15","menceritakan kisah keteladanan Nabi Ilyasa’ a.s."
"5","pabp","4","4.16","menceritakan kisah keteladanan Nabi Muhammad saw."
"5","pabp","4","4.17","menceritakan kisah keteladanan Luqman sebagaimana terdapat dalam al-Qur’an"
