"tingkat","mapel_id","ki_id","kode_kd","teks_kd"
"1","pkn","3","3.1","mengenal simbol sila-sila Pancasila dalam lambang negara “Garuda Pancasila”"
"1","pkn","3","3.2","mengidentifikasi aturan yang berlaku dalam kehidupan sehari- hari di rumah"
"1","pkn","3","3.3","mengidentifikasi keberagaman karateristik individu di rumah"
"1","pkn","3","3.4","mengidentifikasi bentuk kerjasama dalam keberagaman di rumah"
"1","pkn","4","4.1","menceritakan simbol-simbol sila Pancasila pada Lambang Garuda sila Pancasila"
"1","pkn","4","4.2","menceritakan kegiatan sesuai dengan aturan yang berlaku dalam kehidupan sehari-hari di rumah"
"1","pkn","4","4.3","menceritakan pengalaman kebersamaan dalam keberagaman kehidupan individu di rumah"
"1","pkn","4","4.4","menceritakan pengalaman kerjasama dalam keberagaman di rumah"
"1","bid","3","3.1","menjelaskan kegiatan persiapan membaca permulaan (cara duduk wajar dan baik, jarak antara mata dan buku, cara memegang buku, cara membalik halaman buku,"
"1","bid","3","3.2","gerakan mata dari kiri ke kanan, memilih tempat dengan cahaya yang terang, dan etika membaca buku) dengan cara yang benar"
"1","bid","3","3.3","mengemuka-kan kegiatan persiapan menulis permulaan (cara duduk, cara memegang pensil, cara menggerakkan pensil, cara meletakkan   buku,   jarak   antara mata dan buku, pemilihan tempat dengan cahaya yang terang) yang benar secara lisan"
"1","bid","3","3.4","menguraikan lambang bunyi vokal dan konsonan dalam kata bahasa Indonesia atau bahasa daerahatau bahasa daerah"
"1","bid","3","3.5","menentukan kosakata tentang anggota tubuh dan pancaindra serta perawatannya melalui teks pendek (berupa gambar, tulisan, slogan sederhana, dan/atau syair lagu) dan eksplorasi lingkungan"
"1","bid","3","3.6","mengenal kosakata tentang cara memelihara kesehatan melalui teks pendek (berupa gambar, tulisan, dan slogan sederhana) dan/atau eksplorasi lingkungan."
"1","bid","3","3.7","menguraikan kosakata tentang berbagai jenis benda di lingkungan sekitar melalui teks pendek (berupa gambar, slogan sederhana, tulisan, dan/atau syair lagu) dan/atau eksplorasi lingkungan."
"1","bid","3","3.8","menentukan kosakata yang berkaitan dengan peristiwa siang dan malam melalui teks pendek (gambar, tulisan, dan/atau syair lagu) dan/atau eksplorasi lingkungan."
"1","bid","3","3.9","merinci ungkapan penyampaian terima kasih, permintaan maaf, tolong, dan pemberian pujian, ajakan, pemberitahuan, perintah, dan petunjuk kepada orang lain dengan menggunakan bahasa yang santun secara lisan dan tulisan yang dapat dibantu dengan kosakata bah"
"1","bid","3","3.10","merinci kosakata dan ungkapan perkenalan diri, keluarga, dan orang-orang di tempat tinggalnya secara lisan dan tulis yang dapat dibantu dengan kosakata bahasa daerah"
"1","bid","3","3.11","menguraikan kosakata hubungan kekeluargaan melalui gambar/bagan silsilah keluarga dalam bahasa Indonesia atau bahasa daerah"
"1","bid","3","3.12","mencermati puisi anak/syair lagu (berisi ungkapan kekaguman, kebanggaan, hormat kepada orang tua, kasih sayang, atau persahabatan) yang diperdengarkan dengan tujuan untuk kesenangan"
"1","mtk","3","3.1","menjelaskan makna bilangan cacah sampai dengan 99 sebagai banyak anggota suatu kumpulan objek"
"1","mtk","3","3.2","menjelaskan bilangan sampai dua angka dan nilai tempat penyusun lambang bilangan menggunakan kumpulan benda konkret serta cara membacanya"
"1","mtk","3","3.3","membandingkan dua bilangan sampai dua angka dengan menggunakan kumpulan benda- benda konkret"
"1","mtk","3","3.4","menjelaskan dan melakukan penjumlahan dan pengurangan bilangan yang melibatkan bilangan cacah sampai dengan 99 dalam kehidupan sehari-hari serta mengaitkan penjumlahan dan pengurangan"
