"tingkat","mapel_id","bab_id","ki_id","kd_id"
"3","pabp","1","1","1.2"
"3","pabp","1","2","2.2"
"3","pabp","1","3","3.2"
"3","pabp","1","4","4.2"
"3","pabp","2","1","1.1"
"3","pabp","2","2","2.1"
"3","pabp","2","3","3.1"
"3","pabp","2","4","4.1.1"
"3","pabp","2","4","4.1.2"
"3","pabp","2","4","4.1.3"
"3","pabp","3","1","1.3"
"3","pabp","3","1","1.4"
"3","pabp","3","2","2.3"
"3","pabp","3","2","2.4"
"3","pabp","3","3","3.3"
"3","pabp","3","3","3.4"
"3","pabp","3","4","4.3"
"3","pabp","3","4","4.4"
"3","pabp","4","1","1.5"
"3","pabp","4","2","2.5"
"3","pabp","4","3","3.5"
"3","pabp","4","4","4.5"
"3","pabp","5","1","1.8"
"3","pabp","5","1","1.10"
"3","pabp","5","2","2.8"
"3","pabp","5","2","2.10"
"3","pabp","5","3","3.8"
"3","pabp","5","3","3.10"
"3","pabp","5","4","4.8"
"3","pabp","5","4","4.10"
"3","pabp","6","1","1.11"
"3","pabp","6","1","1.12"
"3","pabp","6","2","2.11"
"3","pabp","6","2","2.12"
"3","pabp","6","3","3.11"
"3","pabp","6","3","3.12"
"3","pabp","6","4","4.11"
"3","pabp","6","4","4.12"
"3","pabp","7","1","1.5"
"3","pabp","7","2","2.5"
"3","pabp","7","3","3.5"
"3","pabp","7","4","4.5"
"3","pabp","8","1","1.1"
"3","pabp","8","2","2.1"
"3","pabp","8","3","3.1"
"3","pabp","8","4","4.1.1"
"3","pabp","8","4","4.1.2"
"3","pabp","8","4","4.1.3"
"3","pabp","9","1","1.4"
"3","pabp","9","2","2.4"
"3","pabp","9","3","3.4"
"3","pabp","9","4","4.4"
"3","pabp","10","1","1.7"
"3","pabp","10","2","2.7"
"3","pabp","10","3","3.7"
"3","pabp","10","4","4.7"
"3","pabp","11","1","1.9"
"3","pabp","11","2","2.9"
"3","pabp","11","3","3.9"
"3","pabp","11","4","4.9"
"3","pabp","12","1","1.13"
"3","pabp","12","2","2.13"
"3","pabp","12","3","3.13"
"3","pabp","12","4","4.13"
