"tingkat","mapel_id","ki_id","kode_kd","teks_kd"
"3","pkn","3","3.1","Memahami simbol-simbol sila Pancasila dalam lambang negara “Garuda Pancasila”"
"3","pkn","3","3.2","Mengetahui hak dan kewajiban sebagai warga dalam kehidupan sehari-hari di rumah dan di sekolah"
"3","pkn","3","3.3","Memahami makna keberagaman karakteristik individu di rumah, sekolah dan masyarakat"
"3","pkn","3","3.4","Mengetahui arti bersatu dalam keberagaman di rumah, sekolah dan masyarakat"
"3","bid","3","3.1","Menggali informasi dari teks laporan informatif hasil observasi tentang perubahan wujud benda, sumber energi, perubahan energi, energi alternatif, perubahan iklim dan cuaca, rupa bumi dan perubahannya, serta alam semesta dengan bantuan guru dan teman dala"
"3","bid","3","3.2","Menguraikan teks arahan/petunjuk tentang perawatan hewan dan tumbuhan, serta daur hidup hewan dan pengembangbiakan tanaman dengan bantuan guru atau teman dalam bahasa Indonesia lisan dan tulis yang dapat diisi dengan kosakata bahasa daerah untuk membantu "
"3","bid","3","3.3","Mengemukakan isi teks surat tanggapan pribadi tentang perkembangan teknologi produksi, komunikasi, dan transportasi serta permasalahan dan lingkungan sosial di daerah dengan bantuan guru dan teman dalam bahasa Indonesia lisan dan tulis yang dapat diisi de"
"3","bid","3","3.4","Menggali informasi dari teks dongeng tentang kondisi alam dengan bantuan guru atau teman dalam bahasa  Indonesia  lisan dan tulis yang dapat diisi dengan kosakata bahasa daerah untuk membantu pemahaman"
"3","bid","3","3.5","Menggali informasi dari teks permainan/dolanan daerah tentang kehidupan hewan dan tumbuhan dengan bantuan guru atau teman dalam bahasa Indonesia lisan dan tulis yang dapat diisi dengan kosakata bahasa daerah untuk membantu pemahaman"
"3","mtk","3","3.1","Memahami sifat-sifat operasi hitung bilangan asli melalui pengamatan pola penjumlahan dan perkalian"
"3","mtk","3","3.2","Memahami letak bilangan pada garis bilangan"
"3","mtk","3","3.3","Memahami konsep pecahan sederhana menggunakan benda-benda yang konkrit/gambar, serta menentukan nilai terkecil dan terbesar"
"3","mtk","3","3.4","Menemukan sifat simetri bangun datar (melalui kegiatan menggunting dan melipat atau cara lainnya), simetri putar dan pencerminan menggunakan benda-benda konkrit"
"3","mtk","3","3.5","Menemukan unsur dan sifat bangun datar sederhana berdasarkan pengamatan"
"3","mtk","3","3.6","Mengetahui perbandingan data menggunakan tabel, grafik batang, dan grafik kue serabi"
"3","mtk","3","3.7","Mengenal hubungan antar satuan waktu, antar satuan panjang, dan antar satuan berat yang biasa digunakan dalam kehidupan sehari-hari"
"3","mtk","3","3.8","Menentukan strategi pemecahan masalah dengan mengurangi, menambah, dan menukarkan sejumlah uang"
"3","mtk","3","3.9","Memahami keliling segitiga dan persegi panjang menggunakan benda konkrit (benang, tali, batang korek api, lidi dan berbagi benda yang dapat digunakan sebagai satu satuan luas)"
"3","mtk","3","3.10","Mengenal dan membandingkan besar sudut bangun datar tanpa satuan baku"
"3","mtk","3","3.11","Menunjukkan pemahaman tentang konsep persamaan antara pasangan ekspresi, menggunakan penambahan dan pengurangan bilangan sampai dua angka"
"3","mtk","3","3.12","Mendeksripsikan hubungan antara dua bangun datar dan antara bangun ruang dan bangun datar"
"3","mtk","3","3.13","Mengenal pecahan dan bilangan desimal, serta dapat melakukan penambahan dan pengurangan pecahan berpenyebut sama"
"3","mtk","3","3.14","Memahami penghitungan waktu berdasarkan data sehari-hari"
"3","sbdp","3","3.1","Mengenal gambar dekoratif dan montase"
"3","sbdp","3","3.2","Membedakan pola irama rata dan bervariasi lagu bertanda birama enam "
"3","sbdp","3","3.3","Memahami gerak kuat dan lemah dalam tari dengan menggunakan musik sebagai iringan "
"3","sbdp","3","3.4","Mengetahui cara mengolah bahan alam dan buatan untuk membuat prakarya"
"3","sbdp","3","3.5","Memahami makna karya seni budaya dengan bahasa daerah setempat"
"3","pjok","3","3.1","Mengetahui kebutuhan tidur dan istirahat untuk menjaga kesehatan"
"3","pjok","3","3.2","Mengetahui penggunaan waktu luang untuk kegiatan yang bermanfaat bagi kesehatan"
"3","pjok","3","3.3","Mengetahui pemanfaatan pakaian dan atribut yang sesuai untuk jenis aktivitas fisik yang diikuti"
"3","pkn","4","4.1","Mengamati dan menceritakan perilaku di sekitar rumah dan sekolah dan mengaitkan dengan pemahamannya terhadap simbol sila-sila Pancasila"
"3","pkn","4","4.2","Melaksanakan kewajiban sebagai warga dalam kehidupan sehari-hari di rumah dan sekolah"
"3","pkn","4","4.3","Berinteraksi dengan beragam orang di lingkungan rumah, sekolah, masyarakat"
"3","pkn","4","4.4","Mensimulasikan bentuk-bentuk kebersatuan dalam keberagaman di rumah, sekolah dan masyarakat"
"3","bid","4","4.1","Mengamati dan mengolah isi teks laporan informatif hasil observasi tentang perubahan wujud benda, sumber energi, perubahan energi, energi alternatif, perubahan iklim dan cuaca, rupa bumi dan perubahannya, serta alam semesta secara mandiri dalam bahasa Ind"
"3","bid","4","4.2","Menerangkan dan mempraktikkan teks arahan/petunjuk tentang perawatan hewan dan tumbuhan serta daur hidup hewan dan pengembangbiakan tanaman secara mandiri dalam bahasa Indonesia  lisan dan tulis yang dapat diisi dengan kosakata bahasa daerah untuk membant"
"3","bid","4","4.3","Mengolah dan menyajikan teks surat tanggapan pribadi tentang perkembangan teknologi produksi, komunikasi, dan transportasi serta permasalahan dan lingkungan sosial di daerah secara mandiri dalam  bahasa Indonesia lisan dan tulis yang dapat diisi dengan ko"
"3","bid","4","4.4","Menyampaikan teks dongeng tentang kondisi alam dalam bentuk permainan peran secara mandiri dalam bahasa Indonesia lisan dan tulis yang dapat diisi dengan kosakata bahasa daerah untuk membantu penyajian"
"3","bid","4","4.5","Mendemonstrasikan teks permainan/dolanan daerah tentang kehidupan hewan dan tumbuhan secara mandiri dalam bahasa Indonesia lisan dan tulis yang dapat diisi dengan kosakata bahasa daerah untuk membantu penyajian"
"3","mtk","4","4.1","Menyelesaikan masalah yang berkaitan dengan penjumlahan, pengurangan, perkalian, pembagian, bilangan bulat, waktu, panjang, berat benda dan uang terkait dengan aktivitas sehari-hari di rumah, sekolah, atau tempat bermain dan memeriksa kebenarannya serta m"
"3","mtk","4","4.2","Menunjukkan hasil rotasi dan pencerminan suatu bangun datar dengan menggunakan gambar"
"3","mtk","4","4.3","Menggambar berbagai bangun datar dengan keliling atau luas yang sama"
"3","mtk","4","4.4","Menaksir panjang, luas, dan berat suatu benda dan memilih satuan baku yang sesuai"
"3","mtk","4","4.5","Membentuk dan menggambar berbagai bangun datar yang diperoleh melalui kegiatan melipat dan menggunting atau cara lainnya"
"3","mtk","4","4.6","Mengumpulkan, mencatat, menata, dan menampilkan data menggunakan tabel dan grafik batang"
"3","mtk","4","4.7","Membuat tabel frekuensi sederhana berdasarkan tabulasi hasil pengukuran tinggi badan teman sekelas"
"3","mtk","4","4.8","Menyajikan pemecahan masalah yang terkait dengan penukaran nilai uang"
"3","mtk","4","4.9","Memperkirakan dan mengukur panjang, keliling, luas, kapasitas, massa, waktu, dan suhu menggunakan satuan baku dan tidak baku"
"3","mtk","4","4.10","Mendeskripsikan, mengembangkan, dan membuat pola dari berbagai pola numerik dan pola geometris"
"3","mtk","4","4.11","Membaca, mendeskripsikan, dan menginterpretasikan data pokok yang ditampilkan pada bagan dan grafik, termasuk grafik batang vertikal dan horizontal"
"3","mtk","4","4.12","Mengumpulkan dan menata data kategorikal atau diskrit dan menampilkan data menggunakan bagan dan grafik, termasuk grafik batang vertikal dan horisontal dengan label terurut sesuai dengan grafik batang horizontal"
"3","mtk","4","4.13","Mengurai sebuah bilangan bulat sebagai hasil penjumlahan  atau  pengurangan  dua buah bilangan bulat lainnya dengan berbagai kemungkinan jawaban"
"3","mtk","4","4.14","4.14 Membuat dan mengambar berbagai bangun datar dengan kelililing atau luas yang telah ditentukan"
"3","mtk","4","4.15","Menghasilkan berbagai bangun datar yang diperoleh melalui kegiatan melipat dan menggunting atau cara lainnya"
"3","sbdp","4","4.1","Menggambar dekoratif dengan mengolah perpaduan garis, warna, bentuk dan tekstur berdasarkan hasil pengamatan di lingkungan sekitar"
"3","sbdp","4","4.2","Membuat karya seni montase dari berbagai media"
"3","sbdp","4","4.3","Menghias benda dengan gambar dekoratif"
"3","sbdp","4","4.4","Membentuk karya imajinatif dari bahan lunak"
"3","sbdp","4","4.5","Menyanyi lagu wajib dan lagu permainan dari daerah sesuai dengan isi lagu"
"3","sbdp","4","4.6","Memainkan alat musik ritmis pola irama bervariasi sambil bernyanyi"
"3","sbdp","4","4.7","Menyanyikan lagu anak-anak bertanda birama enam sesuai dengan isi lagu."
"3","sbdp","4","4.8","Memainkan pola irama bertanda birama 6 dengan perubahan tempo dan dinamika"
