"tingkat","jenjang","mapel_id","ki_id","kode_kd","teks_kd","sekolah_id"
"2","sd","pabp","1","1.15","Meyakini kebenaran kisah Nabi Muhammad saw.",
"2","sd","pabp","2","2.15","Menunjukkan sikap jujur dan kasih sayang sebagai implementasi pemahaman kisah keteladanan Nabi Muhammad saw.",
"2","sd","pabp","3","3.15","Memahami kisah keteladanan Nabi Muhammad saw.",
"2","sd","pabp","4","4.15","Menceritakan kisah keteladanan Nabi Muhammad saw.",
"2","sd","pabp","1","1.1","Terbiasa membaca basmalah setiap memulai belajar Al-Qur'an.",
"2","sd","pabp","1","1.2"," Terbiasa membaca Al-Qur'an dengan tartil.",
"2","sd","pabp","2","2.1"," Menunjukkan sikap percaya diri dalam melafalkan huruf hijaiah bersambung.",
"2","sd","pabp","2","2.2","Menunjukkan sikap berlindung diri kepada Allah Swt. dan saling menasihati sebagai implementasi pemahaman makna Q.S. An-Nas dan Q.S. Al-'Asr.",
"2","sd","pabp","3","3.1","Mengetahui huruf hijaiah bersambung sesuai dengan makhrajul huruf.",
"2","sd","pabp","3","3.2","Memahami pesan-pesan pokok Q.S. An-Nas dan Q.S. Al-'Asr.",
"2","sd","pabp","4","4.1","Melafalkan huruf hijaiah bersambung sesuai dengan makhrajul huruf.",
"2","sd","pabp","4","4.2.1","Melafalkan Q.S. An-Nas dan Q.S. Al-'Asr dengan benar dan jelas.",
"2","sd","pabp","4","4.2.2","Menunjukkan hafalan Q.S. An Nas dan Q.S. Al-'Asr dengan benar dan jelas.",
"2","sd","pabp","1","1.5","Menerima adanya Allah Swt.Yang Mahasuci, Maha Pemberi Keselamatan, dan Maha Pencipta.",
"2","sd","pabp","2","2.5","Menunjukkan perilaku rendah hati, damai, dan bersyukur sebagai implementasi pemahaman makna al-asmaual-husna: Al-Quddus, As-Salam, dan Al-Khaliq.",
"2","sd","pabp","3","3.5","Memahami makna al-asmaual-husna: Al-Quddus, As-Salam, dan Al-Khaliq.",
"2","sd","pabp","4","4.5","Melafalkan al-asmau al-husna: Al-Quddus, As-Salam, dan Al-Khaliq",
"2","sd","pabp","1","1.8","Meyakini bahwa sikap kerja sama dan tolong-menolong sebagai cerminan dari iman.",
"2","sd","pabp","2","2.8","Menunjukkan sikap kerja sama dan tolong-menolong.",
"2","sd","pabp","3","3.8","Memahami sikap kerja sama dan tolong-menolong.",
"2","sd","pabp","4","4.8","Mencontohkan sikap kerja sama dan tolong-menolong.",
"2","sd","pabp","1","1.4","Meyakini hadis yang terkait dengan perilaku hidup bersih dan sehat.",
"2","sd","pabp","2","2.4","Menunjukkan perilaku hidup bersih dan sehat sebagai implementasi dari pemahaman hadis yang terkait dengan perilaku hidup bersih dan sehat.",
"2","sd","pabp","3","3.4","Memahami hadis yang terkait dengan perilaku hidup bersih dan sehat.",
"2","sd","pabp","4","4.4","Menunjukkan perilaku hidup bersih dan sehat sebagai implementasi dari pemahaman makna hadis tentang kebersihan dan kesehatan.",
"2","sd","pabp","1","1.9","Terbiasa berdoa sebelum dan sesudah wudu.",
"2","sd","pabp","2","2.9","Menunjukkan perilaku hidup sehat dan peduli lingkungan sebagai implementasi pemahaman doa sebelum dan sesudah wudu.",
"2","sd","pabp","3","3.9","Memahami doa sebelum dan sesudah wudu.",
"2","sd","pabp","4","4.9","Mempraktikkan wudu dan doanya dengan tertib dan benar.",
"2","sd","pabp","1","1.3","Meyakini hadis yang terkait dengan anjuran menuntut ilmu.",
"2","sd","pabp","1","1.11","Meyakini kebenaran kisah Nabi Shaleh a.s.",
"2","sd","pabp","2","2.3","Menunjukkan sikap berani bertanya sebagai implementasi pemahaman hadis yang terkait dengan anjuran menuntut ilmu.",
"2","sd","pabp","2","2.11","Menunjukkan sikap berani bertanya sebagai implementasi pemahaman kisah keteladanan Nabi Saleh a.s.",
"2","sd","pabp","3","3.3","Memahami hadis yang terkait dengan anjuran menuntut ilmu.",
"2","sd","pabp","3","3.11","Memahami kisah keteladanan Nabi Shaleh a.s",
"2","sd","pabp","4","4.3","Menunjukkan perilaku rajin belajar sebagai implementasi pemahaman makna hadis yang terkait dengan anjuran menuntut ilmu.",
"2","sd","pabp","4","4.11","Menceritakan kisah keteladanan Nabi Shaleh a.s.",
"2","sd","pabp","1","1.2","Terbiasa membaca Al-Qur'an dengan tartil.",
"2","sd","pabp","1","1.12","Meyakini kebenaran kisah Nabi Luth a.s",
"2","sd","pabp","2","2.2","Menunjukkan sikap berlindung diri kepada Allah Swt. dan saling menasihati sebagai implementasi pemahaman makna Q.S. An-Nas dan Q.S. Al-'Asr.",
"2","sd","pabp","2","2.12","Menunjukkan perilaku kerja keras sebagai implementasi pemahaman kisah keteladanan Nabi Luth a.s.",
"2","sd","pabp","3","3.2","Memahami pesan-pesan pokok QS An Nas dan QS Al 'Asr",
"2","sd","pabp","3","3.12","Memahami kisah keteladanan Nabi Luth a.s",
"2","sd","pabp","4","4.2.1","Melafalkan Q.S. An-Nas dan Q.S. Al-'Asr dengan benar dan jelas.",
"2","sd","pabp","4","4.2.2","Menunjukkan hafalan Q.S. An- Nas dan Q.S. Al-'Asr dengan benar dan jelas.",
"2","sd","pabp","4","4.12","Menceritakan kisah keteladanan Nabi Luth a.s.",
"2","sd","pabp","1","1.5","Menerima adanya Allah Swt. Yang Mahasuci, Maha Pemberi Keselamatan, dan Maha Pencipta.",
"2","sd","pabp","2","2.5","Menunjukkan perilaku rendah hati, damai, dan bersyukur sebagai implementasi pemahaman makna al-asmau al-husna: Al-Quddus, As-Salam, dan Al-Khaliq.",
"2","sd","pabp","3","3.5","Memahami makna al-asmau al-husna: Al-Quddus, As-Salam, dan Al-Khaliq.",
"2","sd","pabp","4","4.5","Melafalkan al-asmau al-husna: Al-Quddus, As-Salam, dan Al- Khaliq.",
"2","sd","pabp","1","1.7","Meyakini bahwa perilaku kasih sayang kepada sesama sebagai cerminan dari iman.",
"2","sd","pabp","1","1.14","Meyakini kebenaran kisah Nabi Yaqub a.s",
"2","sd","pabp","2","2.7","Menunjukkan perilaku kasih sayang kepada sesama.",
"2","sd","pabp","2","2.14","Menunjukkan perilaku kasih sayang sebagai implementasi pemahaman kisah keteladanan Nabi Yakub a.s.",
"2","sd","pabp","3","3.7","Memahami perilaku kasih sayang kepada sesama.",
"2","sd","pabp","3","3.14","Memahami kisah keteladanan Nabi Yakub a.s.",
"2","sd","pabp","4","4.7","Mencontohkan perilaku kasih sayang kepada sesama.",
"2","sd","pabp","4","4.14","Menceritakan kisah keteladanan Nabi Yakub a.s.",
"2","sd","pabp","1","1.10","Menjalankan shalat dengan tertib.",
"2","sd","pabp","2","2.10","Menunjukkan sikap disiplin sebagai implementasi pemahaman tata cara shalat dan bacaannya.",
"2","sd","pabp","3","3.10","Memahami tata cara shalat dan bacaannya.",
"2","sd","pabp","4","4.10","Mempraktikkan shalat dengan tata cara dan bacaan yang benar.",
"2","sd","pabp","1","1.5","Menerima adanya Allah Swt.Yang Mahasuci, Maha Pemberi Keselamatan, dan Maha Pencipta.",
"2","sd","pabp","1","1.13","Meyakini kebenaran kisah Nabi lshaq a.s.",
"2","sd","pabp","2","2.5","Menunjukkan perilaku rendah hati, damai, dan bersyukur sebagai implementasi pemahaman makna al-asmaual-husna: Al-Quddus, As-Salam, dan Al-Khaliq.",
"2","sd","pabp","2","2.13","Menunjukkan sikap damai sebagai implementasi pemahaman kisah keteladanan Nabi lshaq a.s.",
"2","sd","pabp","3","3.5","Memahami makna al-asmau al-husna: Al-Quddus, As-Salam, dan Al-Khaliq.",
"2","sd","pabp","3","3.13","Memahami kisah keteladanan Nabi lshaq a.s.",
"2","sd","pabp","4","4.5","Melafalkan al-asmau al-husna: Al-Quddus, As-Salam, dan Al Khaliq",
"2","sd","pabp","4","4.13","Menceritakan kisah keteladanan Nabi lshaq a.s.",
